concessionaria,ano_do_pnv_snv,rodovia,sentido,latitude,longitude,km
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.10863,-48.87326,15.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.10945,-48.8737,15.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.11026,-48.87412,15.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.11108,-48.87455,15.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.11189,-48.87498,15.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.11271,-48.87541,15.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.1135,-48.87588,15.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.11426,-48.87642,16.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.11571,-48.87765,16.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.11642,-48.87827,16.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.11713,-48.87888,16.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.11784,-48.87949,16.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.11855,-48.8801,16.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.11926,-48.88072,16.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.11998,-48.88134,16.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.12069,-48.88195,16.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.12141,-48.88257,17.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.12283,-48.8838,17.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.12354,-48.88441,17.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.12425,-48.88503,17.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.12497,-48.88564,17.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.12568,-48.88626,17.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.12639,-48.88686,17.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.12711,-48.88748,17.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.12781,-48.8881,17.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.12852,-48.88871,18.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.12976,-48.89013,18.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.13014,-48.89104,18.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.13044,-48.89198,18.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.13075,-48.89293,18.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.13109,-48.89386,18.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.1316,-48.89468,18.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.13227,-48.89535,18.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.133,-48.89595,18.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.1338,-48.89659,19.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.13521,-48.89783,19.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.13581,-48.89857,19.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.1364,-48.89933,19.4
