concessionaria;ano_do_pnv_snv;rodovia;km_m;sentido;latitude;longitude
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;509,456;Crescente;-20,051956;-44,281260
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;509,656;Crescente;-20,053095;-44,282745
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;509,856;Crescente;-20,054273;-44,284195
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;510,056;Crescente;-20,055387;-44,285701
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;510,256;Crescente;-20,056560;-44,287156
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;510,456;Crescente;-20,057814;-44,288533
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;510,656;Crescente;-20,058992;-44,289983
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;510,856;Crescente;-20,060209;-44,291397
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;511,056;Crescente;-20,061568;-44,292658
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;511,256;Crescente;-20,063029;-44,293784
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;511,456;Crescente;-20,064496;-44,294900
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;511,656;Crescente;-20,065966;-44,296013
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;511,856;Crescente;-20,067445;-44,297113
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;512,056;Crescente;-20,068903;-44,298243
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;512,256;Crescente;-20,070367;-44,299364
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;512,456;Crescente;-20,071825;-44,300494
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;512,656;Crescente;-20,073288;-44,301617
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;512,856;Crescente;-20,074764;-44,302720
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;513,056;Crescente;-20,076242;-44,303843
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;513,256;Crescente;-20,077821;-44,304773
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;513,321;Crescente;-20,078034;-44,304877
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;534,000;Crescente;-20,179059;-44,377793
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;534,200;Crescente;-20,180520;-44,378537
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;534,400;Crescente;-20,182106;-44,379286
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;534,600;Crescente;-20,183855;-44,379988
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;534,800;Crescente;-20,185609;-44,380729
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;535,000;Crescente;-20,187199;-44,381438
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;535,200;Crescente;-20,188865;-44,382147
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;535,400;Crescente;-20,190565;-44,382870
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;535,600;Crescente;-20,192276;-44,383509
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;535,625;Crescente;-20,192500;-44,383581
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;563,865;Crescente;-20,386290;-44,490887
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;564,065;Crescente;-20,387999;-44,491509
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;564,265;Crescente;-20,389656;-44,492275
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;564,465;Crescente;-20,391131;-44,493382
