concessionaria,ano_do_pnv_snv,rodovia,km_m,sentido,latitude,longitude
ECO101,2020,BR-101/BA,940.654,Decrescente,-18.052126,-39.871081
ECO101,2020,BR-101/BA,940.674,Crescente,-18.052284,-39.871173
ECO101,2020,BR-101/BA,940.674,Decrescente,-18.052284,-39.871173
ECO101,2020,BR-101/BA,940.694,Crescente,-18.052444,-39.871262
ECO101,2020,BR-101/BA,940.694,Decrescente,-18.052444,-39.871262
ECO101,2020,BR-101/BA,940.714,Crescente,-18.052603,-39.871351
ECO101,2020,BR-101/BA,940.714,Decrescente,-18.052603,-39.871351
ECO101,2020,BR-101/BA,940.734,Crescente,-18.05276,-39.871445
ECO101,2020,BR-101/BA,940.734,Decrescente,-18.05276,-39.871445
ECO101,2020,BR-101/BA,940.754,Crescente,-18.052917,-39.871539
ECO101,2020,BR-101/BA,940.754,Decrescente,-18.052917,-39.871539
ECO101,2020,BR-101/BA,940.774,Crescente,-18.053075,-39.871632
ECO101,2020,BR-101/BA,940.774,Decrescente,-18.053075,-39.871632
ECO101,2020,BR-101/BA,940.794,Crescente,-18.053236,-39.871728
ECO101,2020,BR-101/BA,940.794,Decrescente,-18.053236,-39.871728
ECO101,2020,BR-101/BA,940.814,Crescente,-18.05339,-39.871817
ECO101,2020,BR-101/BA,940.814,Decrescente,-18.05339,-39.871817
ECO101,2020,BR-101/BA,940.834,Crescente,-18.053549,-39.871908
ECO101,2020,BR-101/BA,940.834,Decrescente,-18.053549,-39.871908
ECO101,2020,BR-101/BA,940.854,Crescente,-18.053707,-39.872
ECO101,2020,BR-101/BA,940.854,Decrescente,-18.053707,-39.872
ECO101,2020,BR-101/BA,940.874,Crescente,-18.053864,-39.872093
ECO101,2020,BR-101/BA,940.874,Decrescente,-18.053864,-39.872093
ECO101,2020,BR-101/BA,940.894,Crescente,-18.054022,-39.872185
ECO101,2020,BR-101/BA,940.894,Decrescente,-18.054022,-39.872185
ECO101,2020,BR-101/BA,940.914,Crescente,-18.05418,-39.872278
ECO101,2020,BR-101/BA,940.914,Decrescente,-18.05418,-39.872278
ECO101,2020,BR-101/BA,940.934,Crescente,-18.054337,-39.872371
ECO101,2020,BR-101/BA,940.934,Decrescente,-18.054337,-39.872371
ECO101,2020,BR-101/BA,940.954,Crescente,-18.054496,-39.872464
ECO101,2020,BR-101/BA,940.954,Decrescente,-18.054496,-39.872464
ECO101,2020,BR-101/BA,940.974,Crescente,-18.054653,-39.872556
ECO101,2020,BR-101/BA,940.974,Decrescente,-18.054653,-39.872556
ECO101,2020,BR-101/BA,940.994,Crescente,-18.05481,-39.872649
ECO101,2020,BR-101/BA,940.994,Decrescente,-18.05481,-39.872649
ECO101,2020,BR-101/BA,941.014,Crescente,-18.054968,-39.872742
ECO101,2020,BR-101/BA,941.014,Decrescente,-18.054968,-39.872742
ECO101,2020,BR-101/BA,941.034,Crescente,-18.055125,-39.872835
ECO101,2020,BR-101/BA,941.034,Decrescente,-18.055125,-39.872835
ECO101,2020,BR-101/BA,941.054,Crescente,-18.055282,-39.872929
ECO101,2020,BR-101/BA,941.054,Decrescente,-18.055282,-39.872929
ECO101,2020,BR-101/BA,941.074,Crescente,-18.055439,-39.873022
ECO101,2020,BR-101/BA,941.074,Decrescente,-18.055439,-39.873022
ECO101,2020,BR-101/BA,941.094,Crescente,-18.055598,-39.873114
ECO101,2020,BR-101/BA,941.094,Decrescente,-18.055598,-39.873114
ECO101,2020,BR-101/BA,941.114,Crescente,-18.055756,-39.873205
ECO101,2020,BR-101/BA,941.114,Decrescente,-18.055756,-39.873205
ECO101,2020,BR-101/BA,941.134,Crescente,-18.055914,-39.873297
ECO101,2020,BR-101/BA,941.134,Decrescente,-18.055914,-39.873297
ECO101,2020,BR-101/BA,941.154,Crescente,-18.056072,-39.873389
ECO101,2020,BR-101/BA,941.154,Decrescente,-18.056072,-39.873389
ECO101,2020,BR-101/BA,941.174,Crescente,-18.05623,-39.873482
ECO101,2020,BR-101/BA,941.174,Decrescente,-18.05623,-39.873482
ECO101,2020,BR-101/BA,941.194,Crescente,-18.056388,-39.873575
ECO101,2020,BR-101/BA,941.194,Decrescente,-18.056388,-39.873575
ECO101,2020,BR-101/BA,941.214,Crescente,-18.056546,-39.873665
ECO101,2020,BR-101/BA,941.214,Decrescente,-18.056546,-39.873665
ECO101,2020,BR-101/BA,941.234,Crescente,-18.056705,-39.873756
ECO101,2020,BR-101/BA,941.234,Decrescente,-18.056705,-39.873756
ECO101,2020,BR-101/BA,941.254,Crescente,-18.056864,-39.873847
ECO101,2020,BR-101/BA,941.254,Decrescente,-18.056864,-39.873847
